"feature","id","fc","pval","qval","logFC"
"gene","MSTRG.2740",1.1886416600535,0.00455286267251176,0.013570273172433,0.249313851179243
"gene","MSTRG.21402",0.81275931673524,0.00455617483717452,0.0135766802114121,-0.299099906130218
"gene","MSTRG.27085",0.806589798899537,0.00455806439190876,0.0135776782970226,-0.310092935077262
"gene","MSTRG.18766",0.736555657520266,0.00455883512610256,0.0135776782970226,-0.441133548859637
"gene","MSTRG.18859",1.74171086585261,0.00456111016068739,0.0135809904274623,0.800505148034437
"gene","MSTRG.3044",1.17923889667535,0.00456540945009731,0.0135903266781128,0.237856016990622
"gene","MSTRG.39353",1.84121379633542,0.00456919436396686,0.0135974011435375,0.880657157923251
"gene","MSTRG.14189",1.15696385601523,0.00457072377510581,0.0135974011435375,0.210343794815246
"gene","MSTRG.26682",1.13400838033588,0.00457127906229904,0.0135974011435375,0.181431301853636
"gene","MSTRG.408",1.3094513062875,0.00457308530525391,0.0135993099553744,0.388962412125541
"gene","MSTRG.12075",0.354763194295925,0.00457445395143774,0.0135999168138722,-1.49507175312073
"gene","MSTRG.26582",0.495458701903529,0.00457788574342999,0.0136066555642086,-1.01316328579452
"gene","MSTRG.18478",1.68744181237195,0.00457939866858792,0.013607688969916,0.75483775493397
"gene","MSTRG.16179",3.06792712873322,0.0045950848785794,0.0136508270699695,1.61726421547978
"gene","MSTRG.18635",1.34865826030531,0.00459722046917865,0.0136536980262127,0.431524826698291
"gene","MSTRG.16831",1.71548519425757,0.00461136265015916,0.0136922179070833,0.778616674561641
"gene","MSTRG.30211",1.37991015759947,0.00461653712807253,0.0137040977584217,0.464574339898316
"gene","MSTRG.16006",1.33309476382903,0.0046207251456738,0.0137130440282538,0.414779338901635
"gene","MSTRG.35826",1.42365313976455,0.00462974885759404,0.0137363331196604,0.509597689494452
"gene","MSTRG.24208",1.29375132800709,0.00463443655881313,0.0137467488274879,0.371560343507232
"gene","MSTRG.21060",0.745691488476342,0.00463750346394565,0.0137523528318835,-0.423349220579319
"gene","MSTRG.23901",4.56937353931113,0.00464035235752125,0.0137573076494372,2.1919963854844
"gene","MSTRG.25091",0.401164672094765,0.00464704293975338,0.0137736465610254,-1.31773353190288
"gene","MSTRG.27211",0.731773660691885,0.00464827804372714,0.0137738114678116,-0.450530606339447
"gene","MSTRG.24159",2.23106724764524,0.00465030474054329,0.0137754966332996,1.15773399918589
"gene","MSTRG.17426",0.858754956067998,0.00465120596207402,0.0137754966332996,-0.219681574815034
"gene","MSTRG.20672",0.750269721024126,0.00467366311651718,0.0138384984469289,-0.414518758971458
"gene","MSTRG.19768",1.24488897476709,0.00469115476505544,0.01388676941605,0.316017081493884
"gene","MSTRG.4255",1.22118456831638,0.00469979436158485,0.0139088186909751,0.288281263938287
"gene","MSTRG.34726",1.26398260380579,0.00470725105021841,0.0139273569203067,0.337976607837941
"gene","MSTRG.5509",0.727493766549035,0.00470948712587071,0.0139289560354917,-0.458993208388533
"gene","MSTRG.27231",1.16798541983036,0.00471017703238197,0.0139289560354917,0.224022264911654
"gene","MSTRG.37393",1.71651136263352,0.0047120613391799,0.0139310005870741,0.779479407403399
"gene","MSTRG.10938",0.817914036126017,0.0047290941552427,0.0139778186648758,-0.289978872957233
"gene","MSTRG.38540",4.71634480235421,0.00473324223574845,0.0139865391773963,2.2376691946668
"gene","MSTRG.22686",0.567740780603986,0.00474181648907201,0.0140083311306307,-0.816695721317424
"gene","MSTRG.1350",1.86961201804568,0.0047450492923885,0.0140143362763058,0.902738913045513
"gene","MSTRG.1028",1.63862938090809,0.004747003504465,0.0140165630657755,0.712489587940403
"gene","MSTRG.38844",1.64769795798334,0.00474986820559087,0.0140183014402333,0.720451804137301
"gene","MSTRG.31280",0.444443169487806,0.00474999304666923,0.0140183014402333,-1.16992914003889
"gene","MSTRG.18485",0.651586693831073,0.00475364313324256,0.0140255291839329,-0.617970952257714
"gene","MSTRG.33416",1.37620756578195,0.00475974607050422,0.0140368991079393,0.460698080171293
"gene","MSTRG.18532",0.583635841731026,0.00475990070794996,0.0140368991079393,-0.776859611391958
"gene","MSTRG.8281",1.67329428156323,0.00476372401318326,0.014044627373379,0.742691193861767
"gene","MSTRG.34325",1.28331223983383,0.00476613923788349,0.0140455691986141,0.359872232044388
"gene","MSTRG.6628",0.61707714510455,0.00476927239919189,0.0140455691986141,-0.696477232899255
"gene","MSTRG.33834",1.46038323952641,0.00477102030746135,0.0140455691986141,0.546347016510135
"gene","MSTRG.2177",0.520947529801743,0.00477105027462588,0.0140455691986141,-0.940790024316198
"gene","MSTRG.40246",0.745683768466093,0.00477109350917515,0.0140455691986141,-0.423364156619663
"gene","MSTRG.29755",1.40759380519194,0.00477125989132576,0.0140455691986141,0.493231069925893
"gene","MSTRG.33301",0.719050793173921,0.00477278042362994,0.0140465044826488,-0.475834409797366
"gene","MSTRG.10796",0.727571031158774,0.00477882279004849,0.0140607439007776,-0.45883999284846
"gene","MSTRG.20903",1.26727225218855,0.00479029337383807,0.0140884001447799,0.341726496608565
"gene","MSTRG.7717",1.17823864234517,0.0047906375922806,0.0140884001447799,0.236631774532744
"gene","MSTRG.8582",1.85963531850833,0.00479184152894896,0.0140884001447799,0.895019731137804
