"","gene_id","gene_name"
"3181","MSTRG.379","HSPB7"
"3212","MSTRG.383","EPHA2"
"3222","MSTRG.385","ARHGEF19"
"3226","MSTRG.385","."
"3252","MSTRG.391","SZRD1"
"3259","MSTRG.391","."
"3272","MSTRG.394","NECAP2"
"3302","MSTRG.400","NBPF1"
"3415","MSTRG.404","."
"3428","MSTRG.408","."
"3433","MSTRG.408","EIF1AXP1"
"3451","MSTRG.405","."
"3530","MSTRG.422","MFAP2"
"3533","MSTRG.422","."
"3541","MSTRG.425","."
"3542","MSTRG.425","ATP13A2"
"3560","MSTRG.426","SDHB"
"3568","MSTRG.427","PADI2"
"3595","MSTRG.433","RCC2"
"3599","MSTRG.435","."
"3614","MSTRG.435","ARHGEF10L"
"3633","MSTRG.437","ACTL8"
"3652","MSTRG.442","ALDH4A1"
"3659","MSTRG.444","IFFO2"
"3665","MSTRG.445","."
"3677","MSTRG.445","UBR4"
"3703","MSTRG.447","EMC1"
"3731","MSTRG.448","MRTO4"
"3739","MSTRG.451","."
"3750","MSTRG.451","AKR7A3"
"3758","MSTRG.453","AKR7A2"
"3771","MSTRG.456","CAPZB"
"3792","MSTRG.458","."
"3794","MSTRG.458","MICOS10"
"3795","MSTRG.458","NBL1"
"3807","MSTRG.461","."
"3826","MSTRG.462","."
"3839","MSTRG.462","TMCO4"
"3857","MSTRG.462","RNF186"
"3868","MSTRG.466","PLA2G2A"
"3870","MSTRG.466","."
"3889","MSTRG.467","PLA2G5"
"3892","MSTRG.468","PLA2G2D"
"3905","MSTRG.471","."
"3906","MSTRG.470","PLA2G2C"
"3907","MSTRG.471","UBXN10"
"3947","MSTRG.472","CAMK2N1"
"3950","MSTRG.473","."
"3952","MSTRG.474","MUL1"
"3955","MSTRG.475","CDA"
"3957","MSTRG.476","PINK1"
"3961","MSTRG.477","PINK1-AS"
"3963","MSTRG.477","DDOST"
"3988","MSTRG.480","."
"3989","MSTRG.480","HP1BP3"
"4014","MSTRG.481","."
"4029","MSTRG.481","EIF4G3"
"4057","MSTRG.488","ECE1"
"4116","MSTRG.498","ALPL"
"4128","MSTRG.500","."
"4133","MSTRG.500","RAP1GAP"
"4159","MSTRG.501","USP48"
"4187","MSTRG.504","."
"4190","MSTRG.504","HSPG2"
"4243","MSTRG.507","LINC00339"
"4254","MSTRG.507","CDC42"
"4293","MSTRG.520","ZBTB40"
"4306","MSTRG.521","C1QA"
"4308","MSTRG.521","."
"4320","MSTRG.521","C1QC"
"4329","MSTRG.522","C1QB"
"4342","MSTRG.523","EPHB2"
"4345","MSTRG.523","."
"4359","MSTRG.527","KDM1A"
"4381","MSTRG.527","."
"4398","MSTRG.528","."
"4423","MSTRG.535","HNRNPR"
"4439","MSTRG.536","ZNF436"
"4452","MSTRG.538","."
"4456","MSTRG.538","TCEA3"
"4463","MSTRG.541","."
"4465","MSTRG.541","ASAP3"
"4481","MSTRG.542","E2F2"
"4488","MSTRG.544","ID3"
"4498","MSTRG.547","RPL11"
"4505","MSTRG.549","ELOA"
"4519","MSTRG.550","PITHD1"
"4523","MSTRG.552","LYPLA2"
"4534","MSTRG.553","GALE"
"4537","MSTRG.553","."
"4551","MSTRG.554","HMGCL"
"4560","MSTRG.555","FUCA1"
"4561","MSTRG.555","."
"4569","MSTRG.556","PNRC2"
"4573","MSTRG.557","."
"4616","MSTRG.560","."
"4618","MSTRG.560","MYOM3"
"4625","MSTRG.562","."
"4626","MSTRG.562","IL22RA1"
"4629","MSTRG.562","IFNLR1"
"4651","MSTRG.566","STPG1"
"4668","MSTRG.567","."
"4670","MSTRG.567","NIPAL3"
"4689","MSTRG.571","RCAN3"
"4724","MSTRG.575","."
"4734","MSTRG.575","SRRM1"
"4751","MSTRG.576","."
"4755","MSTRG.576","CLIC4"
"4757","MSTRG.578","RUNX3"
"4774","MSTRG.581","SYF2"
"4781","MSTRG.583","RSRP1"
"4783","MSTRG.583","."
"4806","MSTRG.585","."
"4825","MSTRG.583","SDHDP6"
"4839","MSTRG.585","TMEM50A"
"4854","MSTRG.588","."
"4857","MSTRG.589","MACO1"
"4861","MSTRG.590","LDLRAP1"
"4862","MSTRG.590","."
"4874","MSTRG.591","MAN1C1"
"4887","MSTRG.593","SELENON"
"4901","MSTRG.593","MTFR1L"
"4924","MSTRG.595","AUNIP"
"4928","MSTRG.597","PAQR7"
"4935","MSTRG.598","STMN1"
"4945","MSTRG.602","."
"4946","MSTRG.602","PAFAH2"
"4972","MSTRG.607","PDIK1L"
"4980","MSTRG.610","ZNF593"
"4986","MSTRG.611","."
"4990","MSTRG.611","CNKSR1"
"5025","MSTRG.616","SH3BGRL3"
"5054","MSTRG.617","."
"5063","MSTRG.618","CD52"
"5098","MSTRG.623","DHDDS"
"5105","MSTRG.623","."
"5140","MSTRG.626","HMGN2"
"5153","MSTRG.628","RPS6KA1"
"5182","MSTRG.631","."
"5187","MSTRG.631","ARID1A"
"5235","MSTRG.633","ZDHHC18"
"5242","MSTRG.634","SFN"
"5244","MSTRG.635","GPN2"
"5256","MSTRG.635","GPATCH3"
"5259","MSTRG.639","NR0B2"
"5261","MSTRG.638","."
"5262","MSTRG.638","NUDC"
"5266","MSTRG.640","."
"5267","MSTRG.640","KDF1"
"5276","MSTRG.641","TRNP1"
"5279","MSTRG.642","TENT5B"
"5282","MSTRG.645","SLC9A1"
"5291","MSTRG.646","CHCHD3P3"
"5296","MSTRG.648","WDTC1"
"5297","MSTRG.648","."
"5307","MSTRG.650","TMEM222"
"5325","MSTRG.653","."
"5328","MSTRG.653","SYTL1"
"5349","MSTRG.655","FCN3"
"5360","MSTRG.657","WASF2"
"5361","MSTRG.657","."
"5410","MSTRG.661","FGR"
"5411","MSTRG.661","."
"5420","MSTRG.662","."
"5423","MSTRG.663","IFI6"
"5446","MSTRG.672","STX12"
"5455","MSTRG.676","PPP1R8"
"5462","MSTRG.678","THEMIS2"
"5475","MSTRG.679","RPA2"
"5480","MSTRG.680","SMPDL3B"
"5481","MSTRG.680","."
"5500","MSTRG.682","EYA3"
"5509","MSTRG.685","."
"5510","MSTRG.685","SPCS2P4"
"5518","MSTRG.686","."
"5519","MSTRG.686","PTAFR"
"5527","MSTRG.686","DNAJC8"
"5532","MSTRG.687","."
"5533","MSTRG.688","."
"5534","MSTRG.688","ATP5IF1"
"5545","MSTRG.691","SESN2"
"5547","MSTRG.692","MED18"
"5551","MSTRG.693","."
"5561","MSTRG.693","PHACTR4"
"5570","MSTRG.697","."
"5571","MSTRG.697","RCC1"
"5572","MSTRG.697","SNHG3"
"5587","MSTRG.697","SNORA73B"
"5603","MSTRG.699","TRNAU1AP"
"5644","MSTRG.701","TAF12"
"5671","MSTRG.708","YTHDF2"
"5698","MSTRG.712","."
"5755","MSTRG.717","SRSF4"
"5756","MSTRG.717","."
"5827","MSTRG.726","LAPTM5"
"5849","MSTRG.728","SDC3"
"5853","MSTRG.728","."
"5870","MSTRG.729","."
"5909","MSTRG.732","SNRNP40"
"5917","MSTRG.734","ZCCHC17"
"5927","MSTRG.736","."
"5931","MSTRG.736","FABP3"
"5939","MSTRG.737","SERINC2"
"6000","MSTRG.740","TINAGL1"
"6001","MSTRG.740","."
"6019","MSTRG.746","PEF1"
"6050","MSTRG.748","COL16A1"
"6060","MSTRG.748","."
"6128","MSTRG.756","PTP4A2"
"6131","MSTRG.756","."
"6169","MSTRG.758","KHDRBS1"
"6179","MSTRG.760","TMEM39B"
"6192","MSTRG.763","."
"6194","MSTRG.763","KPNA6"
"6199","MSTRG.764","TXLNA"
"6200","MSTRG.764","."
"6204","MSTRG.765","CCDC28B"
"6242","MSTRG.769","EIF3I"
"6347","MSTRG.772","FAM167B"
"6350","MSTRG.773","LCK"
"6360","MSTRG.773","."
"6365","MSTRG.775","HDAC1"
"6366","MSTRG.775","."
"6377","MSTRG.776","MARCKSL1"
"6383","MSTRG.779","."
"6388","MSTRG.779","BSDC1"
"6438","MSTRG.783","RBBP4"
"6460","MSTRG.784","SYNC"
"6466","MSTRG.786","KIAA1522"
"6467","MSTRG.786","."
"6474","MSTRG.787","YARS1"
"6482","MSTRG.787","."
"6511","MSTRG.789","."
"6522","MSTRG.791","TMEM54"
"6524","MSTRG.791","."
"6529","MSTRG.793","."
"6531","MSTRG.793","RNF19B"
"6542","MSTRG.797","AK2"
"6544","MSTRG.797","."
"6608","MSTRG.802","."
"6609","MSTRG.802","ZNF362"
"6627","MSTRG.806","PHC2"
"6628","MSTRG.806","."
"6741","MSTRG.821","GJB5"
"6742","MSTRG.822","GJB4"
"6745","MSTRG.824","GJB3"
"6747","MSTRG.825","GJA4"
"6749","MSTRG.820","SMIM12"
"6761","MSTRG.828","TMEM35B"
"6802","MSTRG.833","."
"6809","MSTRG.833","SFPQ"
"6818","MSTRG.834","."
"6827","MSTRG.834","ZMYM4"
"6840","MSTRG.839","KIAA0319L"
"6896","MSTRG.842","NCDN"
"6898","MSTRG.842","."
