"","gene_id","gene_name"
"71119","MSTRG.9133","."
"71121","MSTRG.9133","SCYL2"
"71137","MSTRG.9135","NR1H4"
"71179","MSTRG.9140","UTP20"
"71183","MSTRG.9141","ARL1"
"71184","MSTRG.9141","."
"71232","MSTRG.9144","CHPT1"
"71234","MSTRG.9144","."
"71250","MSTRG.9146","GNPTAB"
"71251","MSTRG.9146","."
"71274","MSTRG.9152","DRAM1"
"71288","MSTRG.9157","WASHC3"
"71295","MSTRG.9157","."
"71303","MSTRG.9159","NUP37"
"71350","MSTRG.9167","PAH"
"71352","MSTRG.9167","."
"71357","MSTRG.9168","."
"71438","MSTRG.9175","NT5DC3"
"71454","MSTRG.9179","HSP90B1"
"71479","MSTRG.9179","MIR3652"
"71507","MSTRG.9182","TDG"
"71516","MSTRG.9183","GLT8D2"
"71523","MSTRG.9184","."
"71524","MSTRG.9185","."
"71525","MSTRG.9186","HCFC2"
"71531","MSTRG.9187","NFYB"
"71532","MSTRG.9187","."
"71546","MSTRG.9191","RPL18AP3"
"71548","MSTRG.9189","TXNRD1"
"71551","MSTRG.9189","."
"71566","MSTRG.9193","CHST11"
"71577","MSTRG.9198","."
"71578","MSTRG.9198","SLC41A2"
"71603","MSTRG.9202","ALDH1L2"
"71612","MSTRG.9203","WASHC4"
"71624","MSTRG.9204","."
"71626","MSTRG.9204","APPL2"
"71650","MSTRG.9205","C12orf75"
"71668","MSTRG.9212","NUAK1"
"71674","MSTRG.9214","CKAP4"
"71675","MSTRG.9214","."
"71711","MSTRG.9219","POLR3B"
"71758","MSTRG.9229","TMEM263"
"71774","MSTRG.9231","CRY1"
"71796","MSTRG.9238","PWP1"
"71802","MSTRG.9239","PRDM4"
"71803","MSTRG.9239","."
"71844","MSTRG.9242","CMKLR1"
"71855","MSTRG.9244","SART3"
"71874","MSTRG.9246","."
"71876","MSTRG.9246","ISCU"
"71888","MSTRG.9247","TMEM119"
"71895","MSTRG.9248","."
"71896","MSTRG.9248","SELPLG"
"71903","MSTRG.9250","CORO1C"
"71944","MSTRG.9257","DAO"
"71947","MSTRG.9257","."
"71961","MSTRG.9261","USP30-AS1"
"71962","MSTRG.9260","USP30"
"71966","MSTRG.9260","."
"71974","MSTRG.9263","ALKBH2"
"71986","MSTRG.9264","UNG"
"72017","MSTRG.9264","."
"72045","MSTRG.9267","."
"72046","MSTRG.9267","KCTD10"
"72064","MSTRG.9268","."
"72066","MSTRG.9268","UBE3B"
"72084","MSTRG.9269","MMAB"
"72099","MSTRG.9270","MVK"
"72113","MSTRG.9271","FAM222A"
"72132","MSTRG.9275","GLTP"
"72141","MSTRG.9278","."
"72142","MSTRG.9278","TCHP"
"72150","MSTRG.9279","GIT2"
"72180","MSTRG.9282","."
"72184","MSTRG.9282","ANKRD13A"
"72224","MSTRG.9286","ATP2A2"
"72237","MSTRG.9287","ANAPC7"
"72238","MSTRG.9287","."
"72253","MSTRG.9287","ARPC3"
"72262","MSTRG.9289","GPN3"
"72277","MSTRG.9291","FAM216A"
"72280","MSTRG.9292","VPS29"
"72287","MSTRG.9292","."
"72304","MSTRG.9294","PPTC7"
"72376","MSTRG.9299","PPP1CC"
"72418","MSTRG.9300","."
"72427","MSTRG.9303","PHETA1"
"72428","MSTRG.9303","."
"72444","MSTRG.9306","SH2B3"
"72515","MSTRG.9311","BRAP"
"72521","MSTRG.9313","ACAD10"
"72532","MSTRG.9313","."
"72557","MSTRG.9313","ALDH2"
"72565","MSTRG.9314","MAPKAPK5-AS1"
"72578","MSTRG.9315","MAPKAPK5"
"72585","MSTRG.9315","."
"72622","MSTRG.9320","ERP29"
"72629","MSTRG.9322","NAA25"
"72641","MSTRG.9326","."
"72644","MSTRG.9326","TRAFD1"
"72652","MSTRG.9328","HECTD4"
"72662","MSTRG.9328","."
"72686","MSTRG.9334","RPL6"
"72688","MSTRG.9334","."
"72704","MSTRG.9335","."
"72713","MSTRG.9335","PTPN11"
"72750","MSTRG.9336","OAS1"
"72772","MSTRG.9336","."
"72792","MSTRG.9338","OAS3"
"72828","MSTRG.9339","OAS2"
"72840","MSTRG.9341","DTX1"
"72849","MSTRG.9342","."
"72851","MSTRG.9342","RASAL1"
"72865","MSTRG.9345","DDX54"
"72877","MSTRG.9348","RITA1"
"72894","MSTRG.9351","."
"72897","MSTRG.9351","TPCN1"
"72920","MSTRG.9353","."
"72943","MSTRG.9354","PLBD2"
"72948","MSTRG.9356","SDS"
"72955","MSTRG.9358","SDSL"
"73000","MSTRG.9360","RBM19"
"73042","MSTRG.9364","TBX3"
"73071","MSTRG.9372","."
"73079","MSTRG.9375","."
"73080","MSTRG.9375","MED13L"
"73142","MSTRG.9386","SPRING1"
"73170","MSTRG.9392","."
"73179","MSTRG.9396","TESC"
"73188","MSTRG.9398","FBXO21"
"73209","MSTRG.9401","RFC5"
"73210","MSTRG.9401","."
"73220","MSTRG.9403","WSB2"
"73239","MSTRG.9404","."
"73240","MSTRG.9404","VSIG10"
"73269","MSTRG.9406","PEBP1"
"73271","MSTRG.9407","."
"73274","MSTRG.9407","TAOK3"
"73290","MSTRG.9408","RPS2P5"
"73296","MSTRG.9409","."
"73297","MSTRG.9409","SUDS3"
"73328","MSTRG.9410","."
"73329","MSTRG.9410","HSPB8"
"73359","MSTRG.9417","PRKAB1"
"73360","MSTRG.9417","."
"73425","MSTRG.9421","BICDL1"
"73439","MSTRG.9424","RAB35"
"73440","MSTRG.9424","."
"73448","MSTRG.9426","GCN1"
"73458","MSTRG.9427","RPLP0"
"73497","MSTRG.9429","PXN"
"73504","MSTRG.9429","."
"73556","MSTRG.9437","MSI1"
"73567","MSTRG.9439","COX6A1"
"73570","MSTRG.9440","TRIAP1"
"73573","MSTRG.9439","GATC"
"73574","MSTRG.9439","."
"73579","MSTRG.9442","SRSF9"
"73592","MSTRG.9443","DYNLL1"
"73600","MSTRG.9445","."
"73601","MSTRG.9445","COQ5"
"73612","MSTRG.9447","."
"73614","MSTRG.9447","RNF10"
"73643","MSTRG.9449","POP5"
"73662","MSTRG.9453","MLEC"
"73663","MSTRG.9453","."
"73674","MSTRG.9458","UNC119B"
"73678","MSTRG.9460","ACADS"
"73683","MSTRG.9461","SPPL3"
"73717","MSTRG.9467","HNF1A"
"73741","MSTRG.9469","OASL"
"73773","MSTRG.9473","."
"73774","MSTRG.9473","P2RX4"
"73788","MSTRG.9474","."
"73793","MSTRG.9474","CAMKK2"
"73817","MSTRG.9476","ANAPC5"
"73841","MSTRG.9479","RNF34"
"73857","MSTRG.9477","."
"73883","MSTRG.9482","ORAI1"
"73886","MSTRG.9482","."
"73903","MSTRG.9486","RHOF"
"73912","MSTRG.9486","LINC01089"
"73915","MSTRG.9486","."
"73932","MSTRG.9488","SETD1B"
"73936","MSTRG.9489","HPD"
"73943","MSTRG.9492","PSMD9"
"73973","MSTRG.9496","BCL7A"
"73983","MSTRG.9498","."
"73984","MSTRG.9498","MLXIP"
"74015","MSTRG.9502","."
"74017","MSTRG.9502","DIABLO"
"74036","MSTRG.9502","VPS33A"
"74046","MSTRG.9503","CLIP1"
"74050","MSTRG.9503","."
"74073","MSTRG.9506","ZCCHC8"
"74087","MSTRG.9508","RSRC2"
"74088","MSTRG.9508","."
"74111","MSTRG.9509","."
"74132","MSTRG.9512","."
"74133","MSTRG.9512","HCAR2"
"74135","MSTRG.9512","HCAR3"
"74138","MSTRG.9515","."
"74158","MSTRG.9517","."
"74166","MSTRG.9517","HIP1R"
"74170","MSTRG.9518","."
"74171","MSTRG.9518","VPS37B"
"74215","MSTRG.9521","."
"74237","MSTRG.9521","ARL6IP4"
"74320","MSTRG.9527","MTRFR"
"74329","MSTRG.9528","."
"74344","MSTRG.9528","CDK2AP1"
"74353","MSTRG.9530","SBNO1"
"74355","MSTRG.9530","."
"74364","MSTRG.9533","."
"74365","MSTRG.9533","KMT5A"
"74376","MSTRG.9534","RILPL2"
"74379","MSTRG.9535","."
"74385","MSTRG.9535","SNRNP35"
"74404","MSTRG.9539","TMED2"
"74412","MSTRG.9540","DDX55"
"74420","MSTRG.9540","."
"74427","MSTRG.9542","EIF2B1"
"74442","MSTRG.9543","GTF2H3"
"74454","MSTRG.9545","TCTN2"
"74498","MSTRG.9552","CCDC92"
"74500","MSTRG.9552","."
"74519","MSTRG.9559","."
"74523","MSTRG.9559","ZNF664"
"74553","MSTRG.9559","RFLNA"
"74571","MSTRG.9564","NCOR2"
"74703","MSTRG.9576","."
"74705","MSTRG.9577","SCARB1"
"74729","MSTRG.9580","UBC"
"74732","MSTRG.9580","."
"74854","MSTRG.9582","."
"74856","MSTRG.9583","DHX37"
"74858","MSTRG.9583","."
"74863","MSTRG.9582","BRI3BP"
"74869","MSTRG.9585","AACS"
"75179","MSTRG.9597","."
"75212","MSTRG.9598","TMEM132C"
"75217","MSTRG.9603","SLC15A4"
"75219","MSTRG.9603","."
"75230","MSTRG.9604","GLT1D1"
"75290","MSTRG.9625","FZD10"
"75355","MSTRG.9637","RAN"
"75436","MSTRG.9648","SFSWAP"
"75462","MSTRG.9652","."
"75463","MSTRG.9652","ULK1"
"75476","MSTRG.9655","PUS1"
"75478","MSTRG.9655","."
"75578","MSTRG.9663","DDX51"
"75587","MSTRG.9664","NOC4L"
"75624","MSTRG.9671","."
"75687","MSTRG.9679","."
"75693","MSTRG.9679","POLE"
"75724","MSTRG.9680","PXMP2"
"75725","MSTRG.9680","."
"75737","MSTRG.9680","PGAM5"
"75742","MSTRG.9682","ANKLE2"
"75744","MSTRG.9682","."
"75760","MSTRG.9684","GOLGA3"
"75763","MSTRG.9684","."
"75827","MSTRG.9684","CHFR"
"76073","MSTRG.9721","."
"76079","MSTRG.9721","MPHOSPH8"
"76089","MSTRG.9723","."
"76091","MSTRG.9723","PSPC1"
"76100","MSTRG.9725","ZMYM5"
"76110","MSTRG.9728","."
"76123","MSTRG.9728","ZMYM2"
"76139","MSTRG.9730","GJB2"
"76156","MSTRG.9732","CRYL1"
"76174","MSTRG.9735","IFT88"
"76184","MSTRG.9738","."
"76193","MSTRG.9741","."
"76195","MSTRG.9741","EEF1AKMT1"
"76202","MSTRG.9744","."
"76213","MSTRG.9746","RPSAP54"
"76214","MSTRG.9747","LATS2"
"76225","MSTRG.9751","SAP18"
"76233","MSTRG.9752","."
"76234","MSTRG.9752","SKA3"
"76241","MSTRG.9753","MRPL57"
"76293","MSTRG.9757","."
"76299","MSTRG.9757","ZDHHC20"
"76315","MSTRG.9762","MICU2"
"76326","MSTRG.9766","RPS7P10"
"76345","MSTRG.9771","LINC00540"
"76355","MSTRG.9774","."
"76357","MSTRG.9776","FTH1P7"
"76440","MSTRG.9795","MIPEP"
"76459","MSTRG.9799","."
"76460","MSTRG.9799","SPATA13"
"76492","MSTRG.9809","PARP4"
"76493","MSTRG.9809","."
"76508","MSTRG.9813","ATP12A"
"76521","MSTRG.9816","CENPJ"
"76548","MSTRG.9818","."
"76578","MSTRG.9820","MTMR6"
"76582","MSTRG.9821","NUP58"
"76605","MSTRG.9822","ATP8A2"
"76622","MSTRG.9822","."
"76632","MSTRG.9829","."
"76633","MSTRG.9829","RNF6"
"76642","MSTRG.9832","CDK8"
"76643","MSTRG.9832","."
"76658","MSTRG.9836","WASF3"
"76694","MSTRG.9848","USP12"
"76701","MSTRG.9853","."
"76706","MSTRG.9856","RPL21"
"76718","MSTRG.9857","RASL11A"
"76732","MSTRG.9862","GTF3A"
"76739","MSTRG.9863","."
"76742","MSTRG.9863","MTIF3"
"76754","MSTRG.9864","."
"76757","MSTRG.9867","."
"76761","MSTRG.9867","LNX2"
"76766","MSTRG.9868","."
"76770","MSTRG.9868","POLR1D"
"76808","MSTRG.9875","."
"76809","MSTRG.9875","PDX1"
"76815","MSTRG.9876","."
"76817","MSTRG.9876","LINC00543"
"76819","MSTRG.9880","CDX2"
"76823","MSTRG.9881","."
"76844","MSTRG.9890","."
"76864","MSTRG.9890","PAN3"
"76871","MSTRG.9893","FLT1"
"76895","MSTRG.9898","POMP"
"76908","MSTRG.9900","SLC46A3"
"76930","MSTRG.9907","."
"76931","MSTRG.9907","SLC7A1"
"76936","MSTRG.9909","UBL3"
"76939","MSTRG.9909","."
"76999","MSTRG.9918","."
"77002","MSTRG.9918","HMGB1"
"77029","MSTRG.9923","ALOX5AP"
"77044","MSTRG.9927","MEDAG"
"77074","MSTRG.9930","HSPH1"
"77076","MSTRG.9930","."
"77113","MSTRG.9933","FRY"
"77138","MSTRG.9941","N4BP2L1"
"77156","MSTRG.9941","."
"77188","MSTRG.9941","N4BP2L2"
"77215","MSTRG.9944","PDS5B"
"77226","MSTRG.9944","."
"77237","MSTRG.9947","STARD13"
"77319","MSTRG.9958","RFC3"
"77437","MSTRG.9970","SPART"
"77465","MSTRG.9973","RFXAP"
"77468","MSTRG.9974","SMAD9"
"77480","MSTRG.9976","ALG5"
"77548","MSTRG.9978","."
"77612","MSTRG.9979","POSTN"
"77615","MSTRG.9979","."
"77648","MSTRG.9986","."
"77650","MSTRG.9986","UFM1"
"77674","MSTRG.9992","PROSER1"
"77687","MSTRG.9993","NHLRC3"
"77703","MSTRG.9996","LHFPL6"
"77710","MSTRG.9997","COG6"
"77754","MSTRG.10000","FOXO1"
"77756","MSTRG.10000","."
"77762","MSTRG.10007","MRPS31"
"77768","MSTRG.10009","."
"77769","MSTRG.10009","SLC25A15"
"77774","MSTRG.10009","MIR621"
"77806","MSTRG.10011","."
"77809","MSTRG.10011","ELF1"
"77817","MSTRG.10013","WBP4"
"77821","MSTRG.10014","KBTBD6"
"77870","MSTRG.10024","."
"77875","MSTRG.10026","RGCC"
"77883","MSTRG.10028","."
"77884","MSTRG.10028","VWA8"
"77917","MSTRG.10037","."
"77924","MSTRG.10037","AKAP11"
"77931","MSTRG.10040","TNFSF11"
"77936","MSTRG.10041","EPSTI1"
"77947","MSTRG.10043","DNAJC15"
"77949","MSTRG.10043","."
"77978","MSTRG.10053","LACC1"
"78000","MSTRG.10055","DGKZP1"
"78032","MSTRG.10057","SMIM2-AS1"
"78034","MSTRG.10057","."
"78059","MSTRG.10065","SERP2"
"78066","MSTRG.10066","TUSC8"
"78069","MSTRG.10067","TSC22D1"
"78074","MSTRG.10067","."
"78100","MSTRG.10073","."
"78101","MSTRG.10073","NUFIP1"
"78106","MSTRG.10074","."
"78107","MSTRG.10074","GPALPP1"
"78120","MSTRG.10078","."
"78124","MSTRG.10078","GTF2F2"
"78134","MSTRG.10084","TPT1"
"78233","MSTRG.10086","TPT1-AS1"
"78234","MSTRG.10089","RCN1P2"
"78248","MSTRG.10092","."
"78251","MSTRG.10092","COG3"
"78274","MSTRG.10100","."
"78277","MSTRG.10100","ZC3H13"
"78318","MSTRG.10100","CPB2"
"78326","MSTRG.10102","LCP1"
"78327","MSTRG.10102","."
"78356","MSTRG.10109","RUBCNL"
"78443","MSTRG.10117","LRCH1"
"78450","MSTRG.10119","ESD"
"78452","MSTRG.10119","."
"78478","MSTRG.10122","SUCLA2"
"78499","MSTRG.10128","NUDT15"
"78506","MSTRG.10130","MED4"
"78512","MSTRG.10132","ITM2B"
"78531","MSTRG.10134","RB1"
"78542","MSTRG.10138","LPAR6"
"78544","MSTRG.10138","."
"78551","MSTRG.10140","RCBTB2"
"78579","MSTRG.10147","."
"78580","MSTRG.10147","FNDC3A"
"78604","MSTRG.10157","."
"78605","MSTRG.10157","CAB39L"
"78630","MSTRG.10160","PHF11"
"78632","MSTRG.10160","."
"78648","MSTRG.10161","RCBTB1"
"78649","MSTRG.10161","."
"78654","MSTRG.10162","ARL11"
"78656","MSTRG.10163","EBPL"
"78662","MSTRG.10163","."
"78664","MSTRG.10164","KPNA3"
"78671","MSTRG.10168","SPRYD7"
"78741","MSTRG.10181","."
"78812","MSTRG.10192","RNASEH2B"
"78888","MSTRG.10198","."
"78890","MSTRG.10198","INTS6"
"78961","MSTRG.10205","."
"78966","MSTRG.10205","DHRS12"
"78984","MSTRG.10207","ATP7B"
"79020","MSTRG.10211","ALG11"
"79045","MSTRG.10214","."
"79056","MSTRG.10214","NEK3"
"79104","MSTRG.10215","VPS36"
"79114","MSTRG.10218","CKAP2"
"79134","MSTRG.10223","."
"79145","MSTRG.10223","HNRNPA1L2"
"79150","MSTRG.10225","SUGT1"
"79162","MSTRG.10227","OLFM4"
"79199","MSTRG.10231","RPL13AP25"
"79287","MSTRG.10237","DIAPH3"
"79350","MSTRG.10242","PCDH20"
"79411","MSTRG.10244","HNRNPA3P5"
"79417","MSTRG.10245","."
"79498","MSTRG.10254","DACH1"
"79503","MSTRG.10255","H3P36"
"79515","MSTRG.10259","MZT1"
"79520","MSTRG.10260","BORA"
"79524","MSTRG.10261","DIS3"
"79526","MSTRG.10261","."
"79530","MSTRG.10262","."
"79547","MSTRG.10264","KLF5"
"79615","MSTRG.10272","TBC1D4"
"79616","MSTRG.10272","."
"79632","MSTRG.10274","COMMD6"
"79634","MSTRG.10274","."
"79651","MSTRG.10275","."
"79659","MSTRG.10275","UCHL3"
"79666","MSTRG.10275","LMO7"
"79711","MSTRG.10284","KCTD12"
"79745","MSTRG.10286","."
"79747","MSTRG.10286","FBXL3"
"79774","MSTRG.10288","."
"79777","MSTRG.10288","MYCBP2"
"79843","MSTRG.10295","EDNRB"
"79888","MSTRG.10307","OBI1"
"79914","MSTRG.10308","."
"79926","MSTRG.10308","RBM26"
"79946","MSTRG.10312","NDFIP2"
"80002","MSTRG.10316","SPRY2"
"80004","MSTRG.10316","."
"80061","MSTRG.10319","SLITRK6"
"80151","MSTRG.10332","."
"80195","MSTRG.10349","GPC6"
"80210","MSTRG.10356","TGDS"
"80213","MSTRG.10356","."
"80235","MSTRG.10358","ABCC4"
"80239","MSTRG.10358","."
"80284","MSTRG.10365","."
"80285","MSTRG.10365","DNAJC3"
"80291","MSTRG.10370","UGGT2"
"80301","MSTRG.10370","."
"80342","MSTRG.10374","."
"80343","MSTRG.10374","MBNL2"
"80356","MSTRG.10379","RAP2A"
"80383","MSTRG.10382","IPO5"
"80395","MSTRG.10384","."
"80397","MSTRG.10384","FARP1"
"80442","MSTRG.10391","STK24"
"80445","MSTRG.10391","."
"80462","MSTRG.10395","SLC15A1"
"80465","MSTRG.10396","DOCK9"
"80471","MSTRG.10396","."
"80487","MSTRG.10397","."
"80511","MSTRG.10405","."
"80513","MSTRG.10405","UBAC2"
"80527","MSTRG.10409","GPR183"
"80546","MSTRG.10412","."
"80549","MSTRG.10412","TM9SF2"
"80567","MSTRG.10416","CLYBL"
"80599","MSTRG.10428","PCCA-DT"
"80600","MSTRG.10430","PCCA"
"80617","MSTRG.10430","."
"80626","MSTRG.10435","GGACT"
"80636","MSTRG.10437","RPS26P47"
"80637","MSTRG.10438","TMTC4"
"80638","MSTRG.10438","."
"80683","MSTRG.10445","ITGBL1"
"80718","MSTRG.10460","TPP2"
"80726","MSTRG.10460","."
"80746","MSTRG.10462","TEX30"
"80753","MSTRG.10463","POGLUT2"
"80761","MSTRG.10464","BIVM"
"80792","MSTRG.10464","."
"80795","MSTRG.10464","ERCC5"
"80986","MSTRG.10471","EFNB2"
"80993","MSTRG.10474","ARGLU1"
"80995","MSTRG.10474","."
"81051","MSTRG.10484","ABHD13"
"81055","MSTRG.10485","TNFSF13B"
"81076","MSTRG.10490","."
"81083","MSTRG.10492","."
"81084","MSTRG.10493","."
"81090","MSTRG.10494","."
"81096","MSTRG.10499","IRS2"
"81097","MSTRG.10499","."
"81128","MSTRG.10502","COL4A1"
"81150","MSTRG.10504","COL4A2"
"81152","MSTRG.10504","."
"81170","MSTRG.10508","RAB20"
"81171","MSTRG.10508","."
"81174","MSTRG.10510","NAXD"
"81185","MSTRG.10511","CARS2"
"81188","MSTRG.10511","."
"81221","MSTRG.10512","ING1"
"81229","MSTRG.10514","ANKRD10"
"81230","MSTRG.10514","."
"81285","MSTRG.10518","."
"81289","MSTRG.10518","ARHGEF7"
"81302","MSTRG.10523","."
"81347","MSTRG.10535","TUBGCP3"
"81365","MSTRG.10537","."
"81373","MSTRG.10537","ATP11A"
"81447","MSTRG.10548","F7"
"81454","MSTRG.10549","F10"
"81468","MSTRG.10554","."
"81476","MSTRG.10556","."
"81495","MSTRG.10558","CUL4A"
"81500","MSTRG.10558","."
"81510","MSTRG.10560","."
"81513","MSTRG.10560","LAMP1"
"81519","MSTRG.10561","GRTP1"
"81561","MSTRG.10570","."
"81563","MSTRG.10570","TMCO3"
"81578","MSTRG.10572","."
"81587","MSTRG.10572","TFDP1"
"81620","MSTRG.10575","GAS6-AS1"
"81623","MSTRG.10576","GAS6"
"81626","MSTRG.10576","."
"81669","MSTRG.10580","RASA3"
"81684","MSTRG.10583","CDC16"
"81688","MSTRG.10583","."
"81703","MSTRG.10588","."
"81709","MSTRG.10588","UPF3A"
"81730","MSTRG.10589","CHAMP1"
"81786","MSTRG.10599","."
"81942","MSTRG.10609","CCNB1IP1"
"81962","MSTRG.10612","RPPH1"
"81968","MSTRG.10613","."
"81969","MSTRG.10613","PARP2"
"81982","MSTRG.10609","TEP1"
"81983","MSTRG.10609","."
"82011","MSTRG.10619","OSGEP"
"82019","MSTRG.10619","."
"82033","MSTRG.10621","APEX1"
"82042","MSTRG.10621","."
"82054","MSTRG.10622","PIP4P1"
"82065","MSTRG.10623","PNP"
"82115","MSTRG.10628","ANG"
"82116","MSTRG.10628","RNASE4"
"82118","MSTRG.10628","."
"82128","MSTRG.10634","."
"82134","MSTRG.10638","RNASE1"
"82160","MSTRG.10645","METTL17"
"82184","MSTRG.10646","SLC39A2"
"82187","MSTRG.10647","."
"82188","MSTRG.10647","NDRG2"
"82286","MSTRG.10653","."
"82296","MSTRG.10653","ARHGEF40"
"82308","MSTRG.10654","ZNF219"
"82310","MSTRG.10654","."
"82342","MSTRG.10655","."
"82347","MSTRG.10655","TMEM253"
"82367","MSTRG.10657","HNRNPC"
"82374","MSTRG.10657","."
"82414","MSTRG.10659","SUPT16H"
"82427","MSTRG.10660","CHD8"
"82437","MSTRG.10660","."
"82459","MSTRG.10663","RAB2B"
"82466","MSTRG.10664","."
"82469","MSTRG.10664","TOX4"
"82482","MSTRG.10665","METTL3"
"82488","MSTRG.10665","."
"82496","MSTRG.10666","SALL2"
"82520","MSTRG.10671","TRAV2"
"82537","MSTRG.10681","TRAV13-1"
"82553","MSTRG.10694","TRAV19"
"82561","MSTRG.10699","TRDV1"
"82635","MSTRG.10733","."
"82726","MSTRG.10733","TRAC"
"82732","MSTRG.10754","DAD1"
"82737","MSTRG.10756","."
"82743","MSTRG.10756","ABHD4"
"82749","MSTRG.10758","."
"82761","MSTRG.10763","OXA1L"
"82773","MSTRG.10764","SLC7A7"
"82798","MSTRG.10765","MRPL52"
"82815","MSTRG.10766","MMP14"
"82824","MSTRG.10768","."
"82826","MSTRG.10768","LRP10"
"82836","MSTRG.10770","."
"82838","MSTRG.10770","RBM23"
"82872","MSTRG.10770","PRMT5"
"82913","MSTRG.10774","HAUS4"
"82919","MSTRG.10774","."
"82943","MSTRG.10774","AJUBA"
"82982","MSTRG.10778","PSMB5"
"82985","MSTRG.10778","."
"83003","MSTRG.10782","ACIN1"
"83004","MSTRG.10782","."
"83050","MSTRG.10783","C14orf119"
"83060","MSTRG.10786","."
"83062","MSTRG.10786","SLC7A8"
"83119","MSTRG.10794","."
"83123","MSTRG.10794","BCL2L2"
"83126","MSTRG.10794","BCL2L2-PABPN1"
"83134","MSTRG.10794","PABPN1"
"83143","MSTRG.10795","SLC22A17"
"83155","MSTRG.10796","EFS"
"83182","MSTRG.10799","NGDN"
"83226","MSTRG.10803","AP1G2"
"83231","MSTRG.10803","."
"83279","MSTRG.10806","DHRS2"
"83304","MSTRG.10807","DHRS4-AS1"
"83329","MSTRG.10808","DHRS4"
"83340","MSTRG.10808","DHRS4L2"
"83342","MSTRG.10808","."
"83396","MSTRG.10814","PCK2"
"83412","MSTRG.10815","."
"83415","MSTRG.10815","DCAF11"
"83459","MSTRG.10816","PSME1"
"83483","MSTRG.10819","PSME2"
"83521","MSTRG.10820","."
"83550","MSTRG.10820","IRF9"
"83619","MSTRG.10820","REC8"
"83632","MSTRG.10822","IPO4"
"83638","MSTRG.10822","."
"83659","MSTRG.10822","TM9SF1"
"83687","MSTRG.10822","CHMP4A"
"83715","MSTRG.10822","NEDD8"
"83723","MSTRG.10827","GMPR2"
"83724","MSTRG.10827","."
"83752","MSTRG.10828","TINF2"
"83783","MSTRG.10828","."
"83802","MSTRG.10830","RABGGTA"
"83822","MSTRG.10831","."
"83827","MSTRG.10833","DHRS1"
"83828","MSTRG.10833","."
"83839","MSTRG.10834","."
"83843","MSTRG.10834","NOP9"
"83859","MSTRG.10835","CIDEB"
"83913","MSTRG.10836","RIPK3"
"83934","MSTRG.10837","NFATC4"
"83957","MSTRG.10838","NYNRIN"
"83959","MSTRG.10839","."
"83964","MSTRG.10839","KHNYN"
"83985","MSTRG.10841","SDR39U1"
"83997","MSTRG.10843","CMA1"
"83999","MSTRG.10844","CTSG"
"84003","MSTRG.10846","GZMH"
"84008","MSTRG.10846","GZMB"
"84011","MSTRG.10846","."
"84017","MSTRG.10847","STXBP6"
"84031","MSTRG.10850","."
"84212","MSTRG.10880","PRKD1"
"84298","MSTRG.10892","SCFD1"
"84355","MSTRG.10900","STRN3"
"84383","MSTRG.10905","."
"84417","MSTRG.10907","."
"84426","MSTRG.10910","."
"84462","MSTRG.10910","DTD2"
"84472","MSTRG.10913","."
"84474","MSTRG.10913","NUBPL"
"84505","MSTRG.10924","."
"84506","MSTRG.10924","ARHGAP5"
"84561","MSTRG.10934","EGLN3"
"84578","MSTRG.10938","SPTSSA"
"84579","MSTRG.10938","."
"84582","MSTRG.10939","EAPP"
"84587","MSTRG.10940","."
"84596","MSTRG.10947","SNX6"
"84611","MSTRG.10949","CFL2"
"84621","MSTRG.10951","BAZ1A"
"84669","MSTRG.10958","SRP54"
"84684","MSTRG.10959","."
"84689","MSTRG.10959","FAM177A1"
"84703","MSTRG.10960","PPP2R3C"
"84728","MSTRG.10962","."
"84746","MSTRG.10962","PSMA6"
"84770","MSTRG.10971","NFKBIA"
"84771","MSTRG.10971","."
"84799","MSTRG.10976","RALGAPA1"
"84800","MSTRG.10976","."
"84866","MSTRG.10993","MBIP"
"84867","MSTRG.10993","."
"84888","MSTRG.10997","."
"84898","MSTRG.10997","NKX2-1"
"84967","MSTRG.11015","FOXA1"
"84998","MSTRG.11025","."
"85001","MSTRG.11026","CLEC14A"
"85038","MSTRG.11030","SEC23A"
"85080","MSTRG.11039","PNN"
"85089","MSTRG.11041","."
"85092","MSTRG.11041","MIA2"
"85215","MSTRG.11066","TOGARAM1"
"85237","MSTRG.11067","PRPF39"
"85255","MSTRG.11071","FKBP3"
"85301","MSTRG.11073","MIS18BP1"
"85302","MSTRG.11073","."
"85364","MSTRG.11081","."
"85389","MSTRG.11084","RPS29"
"85391","MSTRG.11085","."
"85398","MSTRG.11085","RN7SL1"
"85403","MSTRG.11087","LRR1"
"85404","MSTRG.11087","."
"85411","MSTRG.11089","RPL36AL"
"85412","MSTRG.11090","MGAT2"
"85414","MSTRG.11092","DNAAF2"
"85446","MSTRG.11100","."
"85449","MSTRG.11100","KLHDC2"
"85459","MSTRG.11101","NEMF"
"85461","MSTRG.11101","."
"85480","MSTRG.11104","RN7SL3"
"85481","MSTRG.11105","."
"85487","MSTRG.11105","RN7SL2"
"85489","MSTRG.11107","ARF6"
"85502","MSTRG.11109","."
"85559","MSTRG.11115","SOS2"
"85595","MSTRG.11117","CDKL1"
"85610","MSTRG.11121","."
"85651","MSTRG.11126","SAV1"
"85660","MSTRG.11130","NIN"
"85661","MSTRG.11130","."
"85696","MSTRG.11136","ABHD12B"
"85697","MSTRG.11136","."
"85709","MSTRG.11135","PYGL"
"85729","MSTRG.11141","TMX1"
