"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MRPL43",6.5420236162786e-15,0.339881036144748,0.842,0.401,4.04689580902994e-10
"TMCO1",6.57529678471786e-15,0.470680338053373,0.91,0.525,4.06747859102647e-10
"LRPAP1",6.90268773248101e-15,0.386898248183195,0.812,0.406,4.27000263131276e-10
"GCLM",7.17438116537419e-15,0.267464327964327,0.398,0.127,4.43807218890047e-10
"EBNA1BP2",7.35589499177362e-15,0.364902575183028,0.759,0.344,4.55035664191116e-10
"SMIM26",7.93698797048716e-15,0.428966552350627,0.917,0.531,4.90982075854336e-10
"SSR2",7.97456133793999e-15,0.539630524276618,0.985,0.833,4.93306364364968e-10
"NCBP2AS2",9.56321199902999e-15,0.267731731089587,0.609,0.238,5.91580294259995e-10
"MTCH1",9.8492972307824e-15,0.41537090187335,0.797,0.394,6.09277526696199e-10
"COX20",1.13814234151651e-14,0.359672317706051,0.759,0.33,7.04054852462115e-10
"NDUFAF2",1.32543445460201e-14,0.263889020960173,0.564,0.214,8.19913753616806e-10
"GRPEL1",1.4506793535332e-14,0.279946230364154,0.617,0.247,8.97390248095636e-10
"ZNF706",1.4931098698131e-14,0.558199932901284,0.977,0.707,9.23637765466385e-10
"ATRAID",1.72130614256251e-14,0.409365348225761,0.85,0.467,1.06479997978917e-09
"CRELD2",1.99955560391314e-14,0.409310340084994,0.707,0.319,1.23692509658067e-09
"CHMP5",2.0325513285695e-14,0.405321202969864,0.85,0.424,1.25733625185309e-09
"ERI3",2.28684528079656e-14,0.318099296185406,0.549,0.215,1.41464249070075e-09
"AURKAIP1",2.71301574081924e-14,0.442590383000158,0.962,0.704,1.67827153727078e-09
"MT-ND3",2.82280254809325e-14,0.496786253248124,0.992,0.996,1.74618565625048e-09
"SOD2",3.16469959455462e-14,0.374000675041486,0.639,0.273,1.95768316919149e-09
"NDUFS8",3.67277966482507e-14,0.453206842249333,0.902,0.614,2.27198150066079e-09
"VPS25",4.03070947149662e-14,0.368010442644992,0.774,0.363,2.49339687906781e-09
"NDUFB10",4.29906243110301e-14,0.460508972210916,0.97,0.74,2.65940001988032e-09
"PSMG1",4.40418169821415e-14,0.284827796720479,0.564,0.222,2.72442679851527e-09
"CALR",5.1086503331748e-14,0.576574210571937,0.955,0.754,3.16021109610193e-09
"MT-ND6",5.38767403547372e-14,0.440231257997623,0.707,0.331,3.33281515834404e-09
"RPL35A",6.45879444846147e-14,0.341602727283775,1,1,3.99541024581826e-09
"STAU1",6.91821057693353e-14,0.279681195781334,0.699,0.298,4.27960506289108e-09
"TMEM208",7.64078750257214e-14,0.365517515544945,0.752,0.365,4.72659114909113e-09
"POP7",7.77558938272008e-14,0.312145657188474,0.707,0.314,4.80997959215064e-09
"RPL18",8.05057168122845e-14,0.355535897830962,1,0.999,4.98008364200792e-09
"SSR1",8.78645044244653e-14,0.428634419801335,0.872,0.48,5.43529824369743e-09
"RPL7",9.47254734701284e-14,0.437984912709581,1,0.997,5.85971778886214e-09
"MYC",1.08835224925155e-13,0.328103630392832,0.602,0.249,6.73254701387006e-09
"AKR1A1",1.11021198773769e-13,0.402875709268623,0.94,0.563,6.86777135614538e-09
"ATP5MC2",1.36059077889676e-13,0.440502061171748,1,0.946,8.41661455825534e-09
"CLTA",1.36813186183225e-13,0.45299869859878,0.977,0.69,8.46326369729431e-09
"ARL2",1.39830291901204e-13,0.272781683000414,0.632,0.264,8.64990185700848e-09
"RABL6",1.70084230827948e-13,0.266733963782523,0.632,0.263,1.05214105190169e-08
"MRPL23",1.73382933083349e-13,0.449212366143994,0.932,0.583,1.0725468240536e-08
"C12orf57",2.01141248535815e-13,0.481323293441895,0.94,0.614,1.24425976344255e-08
"EMC3",2.02579952068469e-13,0.250114207575993,0.677,0.288,1.25315958349555e-08
"ANAPC13",2.18225932991197e-13,0.266379784814888,0.632,0.268,1.34994562148354e-08
"ZNHIT1",2.32885989538635e-13,0.424274165873001,0.925,0.58,1.440632731286e-08
"VKORC1",2.33808366261448e-13,0.279235240386016,0.669,0.313,1.44633855369331e-08
"ACADVL",2.37041555297536e-13,0.44503567374172,0.759,0.388,1.46633906107056e-08
"TMED4",2.49924312255418e-13,0.297950928553037,0.639,0.273,1.54603179561202e-08
"GSPT1",2.54173880161087e-13,0.323266616905972,0.805,0.376,1.57231962267649e-08
"HSPD1",2.69023629489128e-13,0.63173786321353,0.947,0.708,1.66418017201975e-08
"TMEM183A",2.75362634739769e-13,0.379884321176252,0.805,0.376,1.70339325850021e-08
"COX7A2L",3.2775096745847e-13,0.470515624168957,0.962,0.7,2.0274674846981e-08
"HSD17B12",3.91431977089146e-13,0.419139578901385,0.782,0.412,2.42139821027346e-08
"PEBP1",4.10461047541329e-13,0.541261604033445,0.925,0.712,2.53911204009066e-08
"FAM136A",4.10875946548511e-13,0.325332503138421,0.654,0.299,2.54167860534909e-08
"RER1",4.82215265811966e-13,0.395798440405663,0.887,0.534,2.98298363431282e-08
"MRPL21",5.33173069683212e-13,0.335024989635526,0.767,0.375,3.29820860906035e-08
"TRAP1",6.01043187822077e-13,0.250464183752644,0.609,0.249,3.71805315986737e-08
"FAM174C",7.19100557667231e-13,0.371306195140724,0.767,0.391,4.44835604972949e-08
"TDP2",7.77486422111607e-13,0.381659377349955,0.617,0.264,4.8095310071824e-08
"MRPL36",8.34543334376589e-13,0.279150618860691,0.782,0.364,5.16248506645358e-08
"RABGGTB",9.7510240555379e-13,0.288522624402665,0.662,0.293,6.03198348075575e-08
"RCN2",1.17056058247986e-12,0.323319918448517,0.774,0.38,7.24108776322043e-08
"DYNC1I2",1.17344776581091e-12,0.315315625168192,0.737,0.342,7.25894787930627e-08
"TPD52",1.2487208475553e-12,0.495109296007958,0.97,0.693,7.72458716297712e-08
"EMC7",1.25037964652357e-12,0.318447119855693,0.759,0.374,7.7348484933948e-08
"IER3IP1",1.40167006578403e-12,0.317175007596382,0.759,0.37,8.67073102693998e-08
"MRPL15",1.55939540599007e-12,0.314943785453787,0.774,0.361,9.6464199814546e-08
"TMEM106C",1.66092445795281e-12,0.34771183730781,0.774,0.37,1.02744786968961e-07
"COPS9",1.84171969331721e-12,0.371949181361199,0.955,0.618,1.13928780228603e-07
"RALA",1.89917603808667e-12,0.267693242568415,0.707,0.324,1.17483029716041e-07
"SEC63",2.19915692174704e-12,0.279095915785561,0.707,0.335,1.36039847179272e-07
"NDUFB6",2.2340286552741e-12,0.350134572363619,0.902,0.503,1.38197012615256e-07
"VDAC2",2.28072421132216e-12,0.509732654053575,0.962,0.721,1.41085599712389e-07
"NUTF2",2.91189540705601e-12,0.387942040797508,0.654,0.319,1.80129849880485e-07
"LSM1",3.00813373200382e-12,0.336267234127574,0.774,0.39,1.86083152661756e-07
"TIMMDC1",3.38524229455515e-12,0.260417806239816,0.737,0.333,2.09411088341181e-07
"SQSTM1",4.26154227396267e-12,0.393507622881874,0.835,0.486,2.63619005067331e-07
"TRPT1",4.57021456552019e-12,0.280903653123324,0.639,0.286,2.82713473023079e-07
"SEM1",4.92164223537609e-12,0.434728085851416,0.97,0.744,3.04452788680365e-07
"NFE2L2",5.3821405950653e-12,0.297358399719548,0.571,0.245,3.32939217210739e-07
"MRPL27",5.54532388906997e-12,0.393223597653114,0.85,0.481,3.43033735777869e-07
"RPS15",5.63391832782333e-12,0.334272866373818,1,1,3.48514187759151e-07
"RABAC1",6.79512525335162e-12,0.558756543613578,0.917,0.581,4.20346448172331e-07
"C1QBP",6.97030005600471e-12,0.53207088253018,0.917,0.691,4.31182761464451e-07
"SDHC",6.97777772383915e-12,0.378735374796259,0.902,0.605,4.3164532999669e-07
"ZDHHC12",7.17380877291668e-12,0.309851907646377,0.759,0.37,4.43771810692626e-07
"GADD45A",8.2081891590412e-12,0.581024996052141,0.534,0.226,5.07758581378289e-07
"VMP1",9.15523588789819e-12,0.276519149980949,0.835,0.419,5.66342892025382e-07
"LAMTOR2",9.66283166401867e-12,0.387773981280217,0.925,0.549,5.97742766736195e-07
"NAA20",9.98141535671581e-12,0.374651096738722,0.774,0.404,6.1745035396644e-07
"VPS28",1.06448237572481e-11,0.357333375648434,0.94,0.596,6.58488797623365e-07
"NDUFB2",1.15638069879168e-11,0.407762787918089,0.992,0.797,7.15337100272536e-07
"NAXE",1.29027940575824e-11,0.342127148965854,0.752,0.392,7.98166840402045e-07
"TIMM17A",1.4434150244073e-11,0.341627255959737,0.774,0.407,8.92896534098354e-07
"DCTPP1",1.45116834796737e-11,0.318672078157913,0.782,0.409,8.97692740052615e-07
"MESD",1.62818411728208e-11,0.297501379639894,0.729,0.368,1.0071946949507e-06
"RPL41",1.67597197896147e-11,0.328309081647076,1,1,1.03675626618557e-06
"SRP9",1.79771596874774e-11,0.466454418535019,0.992,0.765,1.11206709826735e-06
"SUGT1",1.79969542518877e-11,0.259491547250253,0.699,0.317,1.11329159002177e-06
"AIMP1",2.54262820517888e-11,0.374594145753076,0.827,0.455,1.57286980772366e-06
"COX6A1",2.63719835079525e-11,0.39556326495009,1,0.892,1.63137089980194e-06
"GRSF1",2.94573222566486e-11,0.332866967295743,0.782,0.387,1.82222995479628e-06
"MRPL50",3.47630104834533e-11,0.251207912157447,0.662,0.307,2.15043982850642e-06
"MRPL22",3.95362317883051e-11,0.311759732247139,0.797,0.426,2.44571129842455e-06
"UQCC3",4.12391087229504e-11,0.29816639529281,0.699,0.35,2.55105126560171e-06
"EIF6",4.3465049059887e-11,0.400244895330683,0.842,0.489,2.68874793484461e-06
"HMG20B",4.65610250471013e-11,0.318405781881813,0.639,0.311,2.88026500941369e-06
"NDUFS3",5.03162858727721e-11,0.341114678240217,0.895,0.478,3.11256544408969e-06
"TPI1",5.30844516704001e-11,0.443994577553408,1,0.911,3.28380418033095e-06
"ZFP36L2",6.07181830258076e-11,0.395768945674376,0.88,0.551,3.75602680197646e-06
"MRPS12",7.31067933779826e-11,0.347150517395918,0.774,0.408,4.52238623836201e-06
"PSMD1",8.21380917238572e-11,0.259941254010953,0.632,0.299,5.08106235403781e-06
"EMC4",9.19947083704745e-11,0.314539588471195,0.805,0.436,5.69079265979755e-06
"PNPLA2",9.21776608525231e-11,0.256188734348426,0.511,0.214,5.70211010033708e-06
"ATP1B3",9.43487258802827e-11,0.365105959774673,0.752,0.416,5.83641218295429e-06
"GUSB",9.76251937799943e-11,0.285218986694945,0.594,0.271,6.03909448723045e-06
"PET100",1.0397607924486e-10,0.325129608904681,0.865,0.494,6.43196026208705e-06
"METTL26",1.13430047615508e-10,0.337898584923312,0.744,0.409,7.01678274549532e-06
"GADD45GIP1",1.14585861469854e-10,0.378567393052588,0.902,0.64,7.08828139052517e-06
"UQCRB",1.27440736535395e-10,0.386814651622729,1,0.973,7.88348396207952e-06
"MANF",1.37627342387372e-10,0.369034185722729,0.842,0.47,8.51362740008283e-06
"PDCD5",1.38252112362331e-10,0.335278107816603,0.782,0.412,8.55227567073377e-06
"STOML2",2.3531768821896e-10,0.403474137466884,0.887,0.546,1.45567521932248e-05
"MRPS7",2.68478541897127e-10,0.325540564087909,0.827,0.435,1.66080826017563e-05
"GPAA1",2.95702691293845e-10,0.282061313995222,0.654,0.333,1.82921684834372e-05
"NOP10",3.02783589689501e-10,0.366251339055794,0.94,0.7,1.87301928581925e-05
"CALM1",3.0828365121813e-10,0.387357405053848,0.985,0.805,1.90704266643536e-05
"TIMM8B",3.20460462408883e-10,0.357745262921836,0.857,0.523,1.98236842046135e-05
"MRPL34",3.57835418423355e-10,0.294168670424205,0.82,0.451,2.21356989836687e-05
"RPL29",3.72294476709654e-10,0.298180576730751,1,0.999,2.30301363292592e-05
"MRPL32",3.8668074380829e-10,0.300370209806178,0.744,0.387,2.39200708119808e-05
"RPL8",4.06147166891623e-10,0.320123891844604,1,1,2.51242637439158e-05
"UQCRFS1",5.29862299042023e-10,0.451008192259747,0.94,0.635,3.27772818187395e-05
"PSMB6",5.35298552046976e-10,0.371823591920386,0.955,0.707,3.31135684296259e-05
"LDHA",5.38184636991344e-10,0.588363678251545,0.97,0.802,3.32921016442845e-05
"RPL12",5.62197309690656e-10,0.333281210680004,1,0.998,3.4777525577464e-05
"MRPL52",6.10419138976319e-10,0.353595390101809,0.917,0.616,3.77605279370751e-05
"MRPS26",6.67919803569674e-10,0.274244350650592,0.774,0.404,4.131751904882e-05
"MRPS15",6.68062070372142e-10,0.337063658371635,0.857,0.508,4.13263196732207e-05
"MT-ND5",7.01239550113147e-10,0.380530547333394,0.932,0.929,4.33786785699993e-05
"PTGES3",7.14842855018129e-10,0.417945214048544,1,0.776,4.42201790114215e-05
"PIH1D1",7.34865466974771e-10,0.270362455480115,0.789,0.422,4.54587777870593e-05
"MLF2",7.74560694563565e-10,0.298649583785677,0.887,0.529,4.79143245657022e-05
"NHP2",8.67243975918179e-10,0.38431073409498,0.872,0.576,5.36477123502986e-05
"UQCC2",1.27930276161913e-09,0.281835471413531,0.82,0.455,7.91376688337595e-05
"NDUFA5",1.36032702741923e-09,0.333605710910582,0.887,0.485,8.41498299161536e-05
"TMEM50A",1.42856123654755e-09,0.337212759320766,0.88,0.572,8.83707980928316e-05
"GTF3C6",1.61417694361561e-09,0.328616033148666,0.857,0.496,9.98529857320618e-05
"PSMB7",1.63567170097866e-09,0.372446285294152,0.955,0.646,0.00010118265142254
"UBB",1.76524730161518e-09,0.340230770975772,1,0.972,0.000109198198077915
"OCIAD1",2.14469473940529e-09,0.277589668563873,0.902,0.535,0.000132670816579611
"POLD2",2.31558093626614e-09,0.254407866572738,0.684,0.348,0.000143241836717423
"SNRPE",3.622297077229e-09,0.439908079669426,0.962,0.73,0.000224075297197386
"HNRNPAB",3.90116126769986e-09,0.257570222792446,0.85,0.465,0.000241325836019913
"VAPA",4.46274626900141e-09,0.455709213813157,0.917,0.679,0.000276065484200427
"NDUFAF8",4.57058360473448e-09,0.298209230872162,0.789,0.452,0.000282736301788875
"ATP5PF",4.98690880985727e-09,0.295411595681996,1,0.852,0.00030849017897777
"PSMB1",5.3711365290307e-09,0.351109619307189,0.985,0.859,0.000332258505685839
"UBE2E3",5.50114789835467e-09,0.285773731401043,0.692,0.361,0.00034030100899222
"NDUFA3",5.52982630610517e-09,0.321100086618367,0.917,0.682,0.000342075055295666
"RAB11FIP1",5.57557857973293e-09,0.328288535607232,0.624,0.319,0.000344905290942279
"SNHG25",5.81464407272399e-09,0.354409699389856,0.707,0.396,0.000359693882338706
"ORMDL2",5.84084244256938e-09,0.304889784335941,0.684,0.385,0.000361314513497342
"NDUFC2",5.86487058561299e-09,0.336534137622564,0.947,0.671,0.00036280089442602
"SNRPF",5.92047486640975e-09,0.383637175442263,0.94,0.687,0.000366240575236107
"TLE5",6.02334581274495e-09,0.279452064629155,0.812,0.439,0.000372604171976403
"FDPS",7.29122859973832e-09,0.492141588565232,0.85,0.621,0.000451035401179813
"AP2S1",9.12366584418681e-09,0.307748198574231,0.947,0.649,0.000564389969121396
"UBL5",1.00085740359571e-08,0.300763298218667,0.992,0.875,0.000619130389864309
"TMEM256",1.72393586779844e-08,0.285808156595017,0.902,0.558,0.00106642672782012
"SEC11A",2.23251821710649e-08,0.294241049129249,0.917,0.644,0.00138103576910207
"RPL35",2.43460407255955e-08,0.276960555212643,1,0.999,0.00150604607928534
"NDUFB11",2.7230558592595e-08,0.334041341599151,0.962,0.822,0.00168448235453793
"PDIA6",3.1906913538286e-08,0.274377970959446,0.932,0.793,0.00197376167147837
"NANS",3.57753715199666e-08,0.372359740253896,0.91,0.686,0.00221306448222514
"NDUFB3",3.7712352005503e-08,0.281639451548737,0.955,0.666,0.00233288609506042
"SDHB",3.97824024289365e-08,0.297156494208907,0.767,0.458,0.00246093941425401
"RHEB",4.66262382026849e-08,0.304590408835835,0.789,0.462,0.00288429909521809
"LSM4",4.89805976552078e-08,0.337741073008847,0.902,0.574,0.00302993977095116
"NDUFV1",5.43326664524835e-08,0.308524097688731,0.812,0.495,0.00336101874675063
"GAS5",5.96755583559879e-08,0.411676335549584,0.985,0.911,0.00369153003990141
"ANXA11",6.6420444339313e-08,0.319796639726093,0.865,0.543,0.0041087686868299
"PSMD7",6.9015144957537e-08,0.281628811887388,0.857,0.522,0.00426927686707324
"SAP18",6.91604173247902e-08,0.311989383557916,0.962,0.791,0.00427826341571152
"NME1",7.3054598405754e-08,0.261688371160101,0.82,0.526,0.00451915745737994
"DEPP1",9.14621960486811e-08,0.422304848807695,0.12,0.028,0.00565785144757141
"NDUFB5",1.1207719771205e-07,0.280348986776898,0.925,0.615,0.0069330954504674
"PRELID1",1.1270064920663e-07,0.32326312047176,0.955,0.763,0.00697166215992212
"PSMA1",1.23880237050061e-07,0.298893530686754,0.955,0.688,0.00766323146391675
"SLC25A6",1.2904322891276e-07,0.289313301933624,0.985,0.981,0.00798261414054333
"PDIA4",1.35568993752644e-07,0.374695454811646,0.835,0.571,0.00838629795353853
"RNH1",1.4279894196696e-07,0.254722892062959,0.774,0.451,0.00883354255007618
"TALDO1",1.43063296311541e-07,0.322496208320368,0.902,0.684,0.00884989550983194
"SSBP1",1.48107661524218e-07,0.275639386357027,0.947,0.663,0.00916193994188814
"OST4",1.50056000619068e-07,0.298126265420191,0.985,0.936,0.00928246419829557
"POLR2F",1.55980651715696e-07,0.263868199423568,0.827,0.471,0.00964896311513296
"ATP5IF1",1.68824483825889e-07,0.341795896153903,0.977,0.816,0.0104434825694695
"PNKD",1.85487697320864e-07,0.273051308264816,0.812,0.469,0.0114742689562687
"NDUFS7",1.88414461910209e-07,0.316514967966409,0.902,0.676,0.0116553186137655
"SDHD",1.91976008163678e-07,0.255479932754807,0.835,0.472,0.0118756358650051
"ATP5PO",2.08263653558496e-07,0.305332032608858,0.992,0.89,0.0128831896091286
"ACP1",2.55834288259289e-07,0.271298164261061,0.887,0.578,0.0158259090717196
"NDUFA13",2.68260481726482e-07,0.262120768652671,0.865,0.573,0.0165945933996001
"CHCHD2",2.79330544197472e-07,0.300006630864846,1,0.945,0.0172793874640556
"TAX1BP1",2.94455951601763e-07,0.265057543298057,0.789,0.434,0.0182150451660851
"ENO1",3.34392224570879e-07,0.510828245852065,0.985,0.869,0.0206855030119546
"REEP5",5.86623018615303e-07,0.278961188093051,0.902,0.665,0.0362884999315426
"MRPL55",6.18955916923213e-07,0.251230988821282,0.797,0.468,0.03828861302087
"AP3S1",6.55555003487407e-07,0.269179309640208,0.887,0.579,0.040552632515731
"MRPL20",7.93961281547651e-07,0.257693394656621,0.962,0.638,0.0491144448765377
"SNHG3",8.80054536935135e-07,0.265815005516675,0.647,0.366,0.0544401736548074
"DMAC1",1.15201920379504e-06,0.2791526612888,0.812,0.523,0.071263907946761
"CHCHD10",1.35692055490453e-06,0.281504704223154,0.97,0.82,0.0839391055263945
"SELENOK",2.00308103313007e-06,0.419386988204742,0.857,0.597,0.123910592709426
"ROMO1",2.88659414601156e-06,0.250875545344525,0.932,0.675,0.178564713872275
"BBLN",3.26001721473395e-06,0.333514394831218,0.925,0.651,0.201664664903442
"UQCRC2",3.47424362218595e-06,0.267218317396296,0.895,0.635,0.214916710468423
"SEC61B",3.8361426735605e-06,0.331093502678566,0.977,0.827,0.237303785786453
"GSTK1",4.20227083269567e-06,0.259947714481744,0.902,0.665,0.259952473710554
"PRDX1",4.40100845526818e-06,0.293013005108061,0.992,0.885,0.27224638304289
"SNHG29",7.939302506828e-06,0.326530900957966,1,0.951,0.49112525307238
"ECH1",1.12791176039979e-05,0.277079645832853,0.925,0.662,0.697726214983309
"ACAA2",1.1807336091717e-05,0.265018584668585,0.609,0.356,0.730401810633615
"POMP",1.35121483356458e-05,0.266451181239765,0.985,0.836,0.835861496043048
"HSP90AB1",1.55495965872776e-05,0.279141498973911,1,0.875,0.961898044888991
"RPLP0",1.61834001992626e-05,0.253276537666498,1,0.998,1
"HSPA5",2.29689255888232e-05,0.419659649730109,0.872,0.651,1
"DYNLL1",2.44173433733555e-05,0.294892963597094,0.992,0.878,1
"SEC11C",3.26844586003853e-05,0.295683996642003,0.85,0.59,1
"EIF4G2",3.43593269491506e-05,0.254032454138277,0.962,0.749,1
"SPCS1",0.00012407648776945,0.280999526142598,0.985,0.785,1
"PRR13",0.00023015588627419,0.27362465341395,0.917,0.715,1
"TUBA1A",0.000274612204152996,0.274320106343044,0.113,0.268,1
"GAPDH",0.00104607811020478,0.275834752272074,1,0.991,1
"ALDOB",0.00232696173297796,0.307294708281074,0.12,0.054,1
"HSP90AA1",0.00563406897386337,0.256020225077616,0.985,0.961,1
"PGK1",0.026640477113209,0.266295362305147,0.932,0.803,1
"HLA-A",0.268526886952365,0.370900651183784,0.962,0.946,1
