"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MT-CO1",2.55411363408546e-22,0.556157203407927,1,0.997,1.57997469404527e-17
"UBE2F",2.63227461781381e-22,0.278635157438521,0.594,0.183,1.62832507857962e-17
"GSTO1",2.670999153132e-22,0.667436951773658,0.887,0.471,1.65228007612746e-17
"CD164",2.73117068822411e-22,0.723420586852501,0.94,0.65,1.68950218773544e-17
"ACADS",2.75718275585686e-22,0.292549598922649,0.368,0.084,1.70559325277305e-17
"PPP1R14B",2.85632332025299e-22,0.477621829967569,0.699,0.264,1.7669216059085e-17
"HSPE1",2.8801948433708e-22,0.826905573232887,0.977,0.748,1.78168853010918e-17
"JSRP1",3.18832316883706e-22,0.289447041765562,0.263,0.043,1.97229671224261e-17
"CASP1",3.25792595780959e-22,0.421871580753639,0.519,0.151,2.01535299750101e-17
"DYRK4",3.43661187257044e-22,0.286171173390932,0.436,0.109,2.12588810437207e-17
"NUCB2",3.68698075725821e-22,0.617719839798689,0.744,0.316,2.28076629643993e-17
"COQ9",5.51171587086992e-22,0.262380356188818,0.609,0.186,3.40954743772013e-17
"CHMP2B",5.80817013650009e-22,0.379455947187996,0.759,0.273,3.59293404643895e-17
"HIBADH",6.19787594708972e-22,0.261250609090511,0.451,0.116,3.8340060608697e-17
"CLTC",6.58847403972531e-22,0.428564591733257,0.744,0.29,4.07563004097408e-17
"AK3",6.69605883573779e-22,0.296142515017174,0.639,0.206,4.1421819957874e-17
"ISOC2",7.18027338433281e-22,0.548642679342706,0.835,0.359,4.44171711554827e-17
"NDUFS4",8.34144261131727e-22,0.541899795363452,0.872,0.42,5.16001639936086e-17
"DDAH2",8.51202368676837e-22,0.369548323181556,0.556,0.166,5.26553785263492e-17
"C8orf82",9.47332905290166e-22,0.265837992556516,0.489,0.134,5.86020135212496e-17
"COX8A",9.97157707088308e-22,0.642311023949515,0.992,0.823,6.16841757604827e-17
"SERPINB1",1.03014526327091e-21,0.794003850123556,0.947,0.547,6.37247859859386e-17
"RAB11A",1.04345727821314e-21,0.637135276003405,0.977,0.547,6.45482672302651e-17
"KDM5B",1.26884000416491e-21,0.311343472983969,0.519,0.147,7.84904426576414e-17
"DDOST",1.29872694229417e-21,0.635781940051153,0.835,0.428,8.03392486503176e-17
"MRPL13",1.30269839954928e-21,0.58144060036583,0.917,0.451,8.05849229961188e-17
"TOMM20",1.52932047324802e-21,0.676373732041939,0.94,0.599,9.46037644751223e-17
"ACOT7",1.53087447467809e-21,0.379105446142272,0.647,0.224,9.46998950035868e-17
"CBR1",1.53449676636839e-21,0.375329234301575,0.647,0.222,9.49239699675485e-17
"CLIC1",1.59476945415219e-21,0.606600277500026,1,0.907,9.86524384338547e-17
"TFPI",1.65973767904438e-21,0.472205668196733,0.203,0.025,1.02671372825685e-16
"QTRT1",1.74666809909047e-21,0.484989599341806,0.586,0.202,1.08048888609736e-16
"PLGRKT",1.90563577982798e-21,0.38405388623394,0.662,0.232,1.17882629340159e-16
"TMEM9",1.97987854582071e-21,0.337964504324978,0.519,0.159,1.22475286844469e-16
"CASP7",2.15218825151756e-21,0.357329927968323,0.541,0.17,1.33134365238877e-16
"ERGIC1",2.2508986296835e-21,0.373975745113514,0.654,0.227,1.39240589232222e-16
"PLPP5",2.27936611294611e-21,0.341020845873104,0.714,0.244,1.41001587746846e-16
"PMM2",2.49547892573236e-21,0.253146462867148,0.586,0.181,1.54370326345804e-16
"PRSS2",3.46642367511377e-21,0.600920281491901,0.158,0.014,2.14432968542538e-16
"CMPK1",3.65933810475921e-21,0.567790184526769,0.932,0.561,2.26366655160405e-16
"MRPL57",3.80215328198203e-21,0.57161337293908,0.94,0.536,2.35201202023408e-16
"PSMG3",3.92567157682368e-21,0.38093151876923,0.669,0.243,2.42842043742313e-16
"MRPS28",4.03704359208886e-21,0.273139097589875,0.474,0.131,2.49731516606617e-16
"HBA2",4.21347707138795e-21,0.283535211217341,0.233,0.034,2.60645691636059e-16
"NTHL1",4.33277173241632e-21,0.382338958565027,0.556,0.181,2.68025259367274e-16
"GCSH",5.37391681142741e-21,0.369449438121726,0.654,0.226,3.324304939549e-16
"PPA1",5.81948997927145e-21,0.725317141668273,0.94,0.685,3.59993650117732e-16
"ATP5PD",7.85076595819996e-21,0.639328834202912,0.947,0.637,4.85648382174249e-16
"SEC13",7.91111637026057e-21,0.504596275639844,0.82,0.373,4.89381658664319e-16
"CHPF",8.27709793031203e-21,0.303018340166896,0.534,0.16,5.12021277969102e-16
"P4HTM",8.40188971514343e-21,0.252348902737135,0.414,0.105,5.19740897778772e-16
"TMEM14C",9.25360949453755e-21,0.504877856604329,0.902,0.454,5.72428283332093e-16
"ADI1",1.00058910723788e-20,0.562314013957703,0.857,0.422,6.18964421737352e-16
"DHRS4",1.00935643329068e-20,0.308129965384706,0.466,0.135,6.24387889633614e-16
"REEP3",1.04687853473448e-20,0.305903823506747,0.594,0.194,6.47599061586752e-16
"CHMP4B",1.09275354439286e-20,0.499000564308687,0.917,0.448,6.75977342561426e-16
"ACSL5",1.14271011799006e-20,0.344753632154659,0.571,0.187,7.06880478988649e-16
"LSM12",1.19435268490128e-20,0.270212084820354,0.571,0.176,7.38826570879934e-16
"ATP5F1C",1.60625501358763e-20,0.623487520828184,0.962,0.724,9.93629351405305e-16
"SLC39A8",1.75152951014616e-20,0.345828679669434,0.617,0.213,1.08349615497641e-15
"NDFIP1",1.82785555880591e-20,0.399846978797628,0.692,0.264,1.13071144867734e-15
"YIPF2",1.88523438971067e-20,0.287495936829143,0.511,0.157,1.16620599347502e-15
"DCTN6",1.9387823393026e-20,0.410171060978691,0.677,0.251,1.19933075509259e-15
"SIGMAR1",2.23580477669583e-20,0.279937487423958,0.466,0.134,1.38306883486404e-15
"B4GALT1",2.2638763692227e-20,0.269922783330553,0.429,0.111,1.40043392200116e-15
"HSPA1A",2.55767937564586e-20,0.775045131625641,0.504,0.163,1.58218046177453e-15
"NDUFAF4",2.63770876107231e-20,0.315175719070953,0.602,0.204,1.63168663959933e-15
"GGPS1",3.04271009493548e-20,0.321478190961211,0.511,0.156,1.88222046472709e-15
"COA4",3.33500251038789e-20,0.471028929215636,0.82,0.354,2.06303255292595e-15
"GSTA1",3.37111617913217e-20,0.778027889348108,0.18,0.021,2.08537246841116e-15
"JTB",3.50744480954191e-20,0.619244915466631,0.97,0.734,2.16970535918263e-15
"TMX2",3.82378304744387e-20,0.338439453357776,0.684,0.248,2.36539219314878e-15
"COX5A",3.96457459106107e-20,0.615541755670327,1,0.849,2.45248584203038e-15
"ZNF593",3.99096315423597e-20,0.369538256989112,0.759,0.288,2.46880980721037e-15
"JUND",4.44205231228773e-20,0.413192865187148,0.602,0.21,2.74785356038119e-15
"CYB561D2.1",4.55617352878894e-20,0.330750276969243,0.647,0.229,2.81844894490884e-15
"SIL1",4.89647176252022e-20,0.343227456825607,0.586,0.202,3.02895743229501e-15
"RTN4",5.1054009908016e-20,0.584867576512424,0.94,0.515,3.15820105290987e-15
"CYCS",5.3314591133784e-20,0.79712421834394,0.947,0.68,3.29804060753588e-15
"CCDC47",5.49288584563522e-20,0.339581494381645,0.617,0.219,3.39789918410995e-15
"TFRC",5.67661935164565e-20,0.377481875026504,0.632,0.221,3.511556730928e-15
"ELOB",6.7774348373845e-20,0.599701419160387,0.992,0.886,4.19252119040605e-15
"C14orf119",7.03606811152742e-20,0.369458506928393,0.729,0.277,4.35251173379086e-15
"TOMM7",9.47049219515146e-20,0.598680735391026,1,0.897,5.85844647192069e-15
"COA6",1.12993249353318e-19,0.430609545126712,0.699,0.278,6.98976240499623e-15
"TESC",1.17178403371714e-19,0.593829316059946,0.571,0.213,7.24865603257422e-15
"PFKP",1.39128560990831e-19,0.333908170546632,0.549,0.181,8.60649278289282e-15
"CES2",1.50119675063906e-19,0.529931350997369,0.383,0.096,9.2864030994532e-15
"CD99",1.53565157434039e-19,0.544234639020987,0.902,0.509,9.49954063886965e-15
"SMIM15",1.58761788761713e-19,0.386666036980592,0.714,0.274,9.82100425279956e-15
"SMIM30",1.62138958242012e-19,0.41192886565662,0.744,0.298,1.00299159568509e-14
"SCOC",1.70712249584174e-19,0.34071479665635,0.714,0.263,1.0560259759277e-14
"FH",2.10722457899409e-19,0.382822357758663,0.602,0.216,1.30352912456574e-14
"SELENOP",2.17864089533791e-19,0.4030754244006,0.301,0.063,1.34770725785603e-14
"PRKCSH",2.30571482198088e-19,0.41751658270172,0.812,0.349,1.42631518887738e-14
"PRDX5",2.75289970231593e-19,0.906769150874233,0.985,0.792,1.70294375585264e-14
"BAG1",3.10145154196607e-19,0.493531676340269,0.85,0.383,1.91855792386021e-14
"KCNK6",3.43743806963914e-19,0.288136594179669,0.466,0.139,2.12639918987877e-14
"ETNK1",3.61196899063389e-19,0.321843036237135,0.594,0.202,2.23436401760613e-14
"ALKBH7",3.91832918346548e-19,0.536489590087327,0.872,0.473,2.42387843289175e-14
"BAD",4.02634324801632e-19,0.345569739984258,0.699,0.27,2.4906959332229e-14
"SLC38A2",4.13286219234424e-19,0.288878720777247,0.579,0.195,2.55658855218415e-14
"LAMP1",4.16403348828033e-19,0.434359428911546,0.82,0.395,2.57587111585021e-14
"ATP5MJ",4.32771501650288e-19,0.608074161727993,1,0.855,2.67712450920868e-14
"ATP5MF",6.6178556006775e-19,0.561181930333308,0.977,0.821,4.0938054745791e-14
"ZBTB7A",7.74953227903663e-19,0.320605691374834,0.594,0.201,4.79386066781206e-14
"HIGD2A",8.16393040012118e-19,0.542088492703842,0.947,0.638,5.05020734551496e-14
"RNF7",8.33319534054083e-19,0.54144498096602,0.925,0.502,5.15491463765855e-14
"SDF4",8.55335065411088e-19,0.393101596375659,0.752,0.312,5.29110271463299e-14
"TMEM219",8.9735115004506e-19,0.439543078849338,0.85,0.404,5.55101421417874e-14
"NDUFA9",9.06512398758111e-19,0.503410407914025,0.759,0.359,5.60768569871767e-14
"CHMP2A",9.9571413273068e-19,0.542935439577761,0.925,0.561,6.15948762507199e-14
"SMIM4",1.20619470899144e-18,0.281596040117731,0.571,0.196,7.46152046982107e-14
"RAC1",1.21223462161109e-18,0.61780741970629,1,0.794,7.49888336928621e-14
"ATP6AP1",1.23522605471534e-18,0.301569065017481,0.647,0.237,7.64110837446908e-14
"PGRMC2",1.23760206797504e-18,0.314332156368404,0.602,0.215,7.65580639249363e-14
"GADD45G",1.25123293880991e-18,0.631351643621225,0.444,0.126,7.7401269594781e-14
"GOLGB1",1.27150120830038e-18,0.308644557941497,0.669,0.245,7.86550647454614e-14
"YIPF3",1.33966415133002e-18,0.401540507890264,0.812,0.344,8.2871624401275e-14
"LY6E",1.43956645198605e-18,0.492325305318423,0.639,0.273,8.90515807198571e-14
"SNHG8",1.57955508328497e-18,0.616890597918647,0.955,0.801,9.7711277452008e-14
"PAWR",1.6724108234933e-18,0.284129011227055,0.624,0.212,1.03455333541296e-13
"DPYSL2",1.91666421539507e-18,0.316785372309698,0.466,0.14,1.18564848364339e-13
"GAR1",2.14958430508794e-18,0.30128980859161,0.617,0.215,1.3297328511274e-13
"RFK",2.29666075907925e-18,0.308706543448202,0.504,0.161,1.42071434556642e-13
"SAT2",2.31247909765898e-18,0.362029829917288,0.759,0.314,1.43049956981184e-13
"SMCO4",2.35075531892326e-18,0.326323571698269,0.639,0.237,1.45417724028593e-13
"ERG28",2.3892042786984e-18,0.393628650303255,0.707,0.281,1.47796176680283e-13
